invoice,invoice_id,supplier_name,amount,currency,invoice_date,due_date,po_reference,decision,match_score,match_confidence,approval_score,approval_confidence,txn_id
invoice_01,NS-2026-0431,NORDIC STEEL A/S,12450.00,DKK,2026-04-02,2026-05-02,PO-44521,review,100,identity confirmed (reference + company),65,amount mismatch: invoice 12450.00 vs bank 21350.00 — reference lists several invoices (batch payment),TXN-2026-04-007
invoice_02,RE-2026-1198,Berliner Maschinenbau GmbH,8750.00,EUR,2026-04-05,2026-05-05,,reject,36,"could not confidently identify the payment (match 36/100, below 50); matched by supplier name only (90/100), invoice id not in the bank reference",65,EUR invoice paid in DKK — amount not directly comparable (FX),TXN-2026-05-004
invoice_03,INV-44219,ACME TOOLS,3245.50,USD,2026-04-07,2026-04-21,PO-44530,review,98,identity confirmed (reference + company),35,USD invoice paid in DKK — amount not directly comparable (FX); payment date outside the expected window,TXN-2026-05-003
invoice_04,2026-0488,København Logistik ApS,4200.00,DKK,2026-04-10,2026-04-25,,review,94,identity confirmed (reference + company),100,amount and date reconcile exactly,TXN-2026-04-003
invoice_05,HVP-2026-077,Hamburg Verpackung GmbH,2100.00,EUR,2026-04-12,2026-05-12,PO-44545,reject,33,"could not confidently identify the payment (match 33/100, below 50); matched by supplier name only (82/100), invoice id not in the bank reference",65,EUR invoice paid in DKK — amount not directly comparable (FX),TXN-2026-05-007
invoice_06,GOS-99421,GLOBAL OFFICE SUPPLIES LTD,1875.40,DKK,2026-04-14,2026-04-28,PO-44552,review,93,identity confirmed (reference + company),65,amount mismatch: invoice 1875.40 vs bank 1837.89 — reference notes an early-payment discount,TXN-2026-04-005
invoice_07,JT-0214,JUTLAND TRADING A/S,7320.00,DKK,2026-04-15,2026-05-15,PO-44561,auto_accept,98,identity confirmed (reference + company),100,amount and date reconcile exactly,TXN-2026-05-010
invoice_08,RE-2026-339,MUNCHEN HARDWARE,5680.50,EUR,2026-04-18,2026-05-18,,review,99,identity confirmed (reference + company),65,EUR invoice paid in DKK — amount not directly comparable (FX),TXN-2026-05-011
invoice_09,SVS-2026-104,Skandinavisk El & VVS,3450.00,DKK,2026-04-20,2026-05-04,PO-44570,review,85,supplier name weakly matches counterparty (63/100) — identity rests on the reference alone,100,amount and date reconcile exactly,TXN-2026-05-002
invoice_10,INV-44280,ACME TOOLS,5120.75,USD,2026-04-22,2026-05-06,PO-44575,review,98,identity confirmed (reference + company),65,USD invoice paid in DKK — amount not directly comparable (FX),TXN-2026-05-005
invoice_11,NS-2026-0455,NORDIC STEEL A/S,8900.00,DKK,2026-04-24,2026-05-24,PO-44582,review,100,identity confirmed (reference + company),65,amount mismatch: invoice 8900.00 vs bank 21350.00 — reference lists several invoices (batch payment),TXN-2026-04-007
invoice_12,PTS-3349,ProTSolutions,6200.00,DKK,2026-04-26,2026-05-10,,auto_accept,95,identity confirmed (reference + company),100,amount and date reconcile exactly,TXN-2026-05-006
